id,longitude,latitude,tmcf,remove,country,realm,elevation,cloud,temperature,min_temperature,max_temperature,tr,strd,dewpoint,pressure,ssrd,precipitation,rwca,vswc,ET,PET
68,-79.733319,-4.583319,Cerro Chacas,,PER,Neotropic,1737,0.0008799372,0.011393777,0.010135916,0.010260357,351.97095,170.36407,0.009765744,0.5316624,348.4578,0.019581722,0.00011754515,0.0003031516,0,0
69,-79.383319,-5.099986,Cerro Chinguela,,PER,Neotropic,3028,0.00059786334,0.00900326,0.0074734082,0.007482565,344.0148,179.91792,0.00672701,0.57038534,538.5937,0.009088039,0.00022381841,0.00023353485,0,0
70,-77.686681,-5.769181,Abra Patricia,,PER,Neotropic,2251,0.0004946791,0.007956749,0.00727591,0.007241405,530.036,170.08664,0.0063414555,0.7914523,701.7012,0.0134338355,0.00013022657,0.00020913624,0,0
71,-77.766681,-6.683319,Leimebamba,,PER,Neotropic,2935,0.00055937783,0.009008162,0.007884634,0.00798508,534.8621,175.68399,0.008534561,0.79664654,702.028,0.009902099,0.00012569301,0.00025988297,0,0
72,-77.483319,-7.533319,Río Abiseo,,PER,Neotropic,3522,0.0003579598,0.008849059,0.007833632,0.007876396,452.8306,240.49248,0.00743537,0.8602451,464.11343,0.011069635,8.081386E-05,0.00029827576,0,0
73,-77.151097,-8.206097,Cumpang and Utcubamba,,PER,Neotropic,2905,0.0004482248,0.009498721,0.008231072,0.008255397,513.45215,260.893,0.009050437,0.88046616,479.816,0.013057657,6.650258E-05,0.0001751325,0,0
74,-74.716681,-9.348347,Cerros de Sira,,PER,Neotropic,1384,0.00070832693,0.009025627,0.008730751,0.008834562,420.4542,163.58194,0.0075046527,0.95061827,540.90753,0.022288738,0.00010375209,0.00022311108,0,0
75,-76.116125,-9.699986,Bosque Unchog,,PER,Neotropic,2099,0.0003232062,0.009547177,0.0077091996,0.007628593,463.76297,244.65894,0.008878056,0.91457444,494.81247,0.0126538575,7.441137E-05,0.00018914248,0,0
76,-77.466681,-9.750014,Huascarán,,PER,Neotropic,3688,0.00070963096,0.012583402,0.010772556,0.0107545415,508.18414,258.97687,0.011063971,0.8406548,473.31,0.009600761,6.17808E-05,0.0003008363,0,0
77,-82.800014,9.149986,La Amistad,yes,PAN,Neotropic,2570,0.00062156393,0.008094701,0.008452876,0.0083454,438.08484,222.31468,0.0084608635,0.4583471,382.7491,0.023955492,0.00013053474,0.00019187051,0,0
78,-91.551097,14.743319,Volcán Santa María,,GTM,Neotropic,2863,0.0006496892,0.007619873,0.007903527,0.007858467,369.06946,285.6948,0.008926596,0.5622841,591.54553,0.028447572,0.000103632614,0.00022006514,0,0
79,-91.199986,14.616681,Volcán Atitlán,,GTM,Neotropic,2454,0.00079097063,0.007867793,0.007909307,0.007924963,391.33353,359.85974,0.010172002,0.57989067,585.05255,0.026482077,0.00023048362,0.00021645224,0,0
80,-91.199986,14.499986,Finca Mocca Private Reserve,,GTM,Neotropic,784,0.0006613115,0.008349586,0.008269231,0.0083629945,205.29892,327.11508,0.009074242,0.605655,341.32355,0.031207995,7.231236E-06,0.00024043368,0,0
81,-90.883319,14.483319,Volcán Acatenango,,GTM,Neotropic,3420,0.00072960794,0.008361042,0.008168409,0.008187669,313.03647,246.00018,0.010022424,0.58607453,487.48392,0.02809286,0.0001743165,0.00021872306,0,0
82,-77.666653,0.499986,Playón de San Francisco,,ECU,Neotropic,3364,0.00059259555,0.009198339,0.008214145,0.00829105,529.28,170.07999,0.007026896,0.71250373,712.60504,0.021590266,0.00012183006,0.00047153982,0,0
83,-92.199986,15.100014,Volcán Tacaná,,MEX,Neotropic,942,0.0006067112,0.007605822,0.007997726,0.008173414,374.3672,260.9552,0.007555352,0.6314274,532.9157,0.027206838,0.00013935953,0.0002683914,0,0
84,-91.766681,16.466681,Las Margaritas,,MEX,Neotropic,2033,0.0008385666,0.009213369,0.009674684,0.009900196,400.93338,263.26044,0.00827318,1.025883,451.7793,0.019444542,9.896671E-05,0.00042928726,0,0
85,-91.849986,16.916681,"Ocosingo, Chiapas",,MEX,Neotropic,720,0.00066732435,0.008720662,0.009511337,0.009716412,412.25546,254.36156,0.008021673,1.0299047,483.79114,0.020074032,9.017972E-05,0.00035771108,0,0
86,-93.416653,16.516653,Cerro Tres Picos,,MEX,Neotropic,1260,0.00062807155,0.0061923196,0.0074709617,0.0075388076,354.9095,247.42982,0.0071654427,0.7945005,376.4413,0.014958813,6.09163E-05,0.000256637,0,0
87,-94.199986,16.766653,Los Chimalapas,,MEX,Neotropic,1660,0.00074573397,0.0067522516,0.0077245156,0.007863489,416.79868,260.7365,0.007377354,0.8293348,419.93015,0.019046908,7.003038E-05,0.0002561098,0,0
88,-92.866681,17.183319,"Region Norte, Chiapas",,MEX,Neotropic,1792,0.00081483397,0.007491321,0.008367463,0.008469757,422.051,236.8175,0.0066633634,0.8841593,509.74493,0.022911767,0.000109706685,0.00026123278,0,0
89,-83.866681,9.983319,Irazu Volcano,,CRI,Neotropic,2882,0.00082636246,0.007937891,0.008454913,0.008448505,299.562,281.02356,0.009213574,0.44332105,667.70776,0.023936529,0.0003075115,0.00020932687,0,0
90,-83.300014,9.466681,La Amistad,,CRI,Neotropic,1913,0.0007490102,0.0084014805,0.0090352995,0.009039414,453.0408,207.53795,0.00875364,0.4407133,349.57382,0.024375092,0.00014025104,0.00021888959,0,0
91,-83.911931,9.707514,Genesis II Cloud Forest Preserve,,CRI,Neotropic,2387,0.001018512,0.008643574,0.009396016,0.009475374,298.1212,267.83414,0.008797376,0.44155344,612.83997,0.022056455,0.00023371677,0.00023349727,0,0
92,-83.616681,9.583319,Río Macho,,CRI,Neotropic,2904,0.0009008086,0.008541589,0.009192117,0.009221683,301.26318,306.36963,0.008935551,0.4339733,652.9045,0.029754017,0.00027582177,0.00019814915,0,0
93,-83.883319,9.583319,Los Santos,,CRI,Neotropic,2656,0.0009769901,0.008547403,0.009466715,0.009551561,318.14563,274.21805,0.008085263,0.4877382,730.3036,0.023721848,0.00056465255,0.00019106106,0,0
94,-85.449986,10.933347,Volcán Cacao,,CRI,Neotropic,1578,0.0005069768,0.0075941775,0.00804608,0.008231237,430.85144,196.85442,0.0055886246,0.671407,392.83917,0.02876864,0.00014688868,0.00044024852,0,0
95,-89.633319,13.866681,Santa Ana,,SLV,Neotropic,1980,0.00078713516,0.010679549,0.010122196,0.010287792,466.64536,444.05075,0.010424852,0.6570878,226.65364,0.022151416,0.00013351487,0.00024738733,0,0
96,-89.283319,13.749986,San Salvador,,SLV,Neotropic,1565,0.00071157713,0.011233824,0.01082823,0.011133762,461.28662,437.6257,0.011661265,0.6780994,270.87555,0.020861126,0.00016755091,0.00025405997,0,0
97,-88.849986,13.600014,San Vicente,,SLV,Neotropic,1778,0.00077055505,0.010190916,0.010048666,0.010314773,664.84406,436.59064,0.011722343,0.685406,640.9127,0.02426492,0.00016111086,0.00024956034,0,0
98,-89.633319,13.866681,Los Andes,yes,SLV,Neotropic,1980,0.00078713516,0.010679549,0.010122196,0.010287792,490.1736,524.41284,0.010424852,0.6570878,335.28738,0.022151416,9.7811535E-05,0.00024738733,0,0
99,-89.699986,13.883319,San Rafael Los Naranjos/El Campanil,,SLV,Neotropic,1495,0.0008346002,0.010006193,0.009398392,0.009470756,517.7092,532.98,0.010407665,0.6472072,391.8388,0.023063015,0.00011694399,0.00021670714,0,0
100,-89.349986,13.716681,Santa María,,SLV,Neotropic,630,0.00073292357,0.010765656,0.010241771,0.010480857,464.27615,441.61844,0.011147703,0.6622659,235.33418,0.02086962,0.00014776058,0.00021048824,0,0
