variable,parameter,mean,sd,HDI%,comp,HDIlo,HDIup,%>comp,%<comp,q2.5%,q25%,median,q75%,q97.5%,mcmc_se,Rhat,n_eff
vswc,sigma,0.41079309454302,0.023756435567119,95,0,0.364716265457354,0.457919740447298,0.999966668888741,3.33311112592494E-05,0.365565306208843,0.394625770692992,0.41039296281857,0.426327357142331,0.459261751667541,0.000279049240517,1.0006226911994,7269
vswc,nu,3.15238233502556,0.492737253606355,95,0,2.27507243045669,4.14824853343212,0.999966668888741,3.33311112592494E-05,2.34895976689205,2.80108118149377,3.09716849436836,3.44135493778221,4.27549388673915,0.005955885784536,1.00042782287106,6942
vswc,eff_size,0.134967848653563,0.053761022042502,95,0,0.029537451055117,0.240650532238743,0.995366975534964,0.004633024465036,0.030379212387238,0.09865797261911,0.13462920166589,0.170643802238504,0.24162230790304,0.00040611504283,1.0001024158473,17552
vswc,x_pred,0.055051735557942,0.707543823175635,95,0,-1.20382240390764,1.35491146245586,0.549163389107393,0.450836610892607,-1.2194888265989,-0.259493977163899,0.055415408555921,0.369487919970007,1.34092614485697,0.004103408932941,1.002291787025,29833
ET,mu,0.025566240612677,0.015143557010878,95,0,-0.003829778800594,0.055163888778894,0.956669555362976,0.043330444637024,-0.003468246772264,0.015286399472491,0.025433589440297,0.035556323318273,0.055772782270785,0.000143582318571,1.00015491721956,11169
ET,sigma,0.262778459830149,0.018059098878187,95,0,0.2282969071073,0.298650165251202,0.999966668888741,3.33311112592494E-05,0.229035474821674,0.250371424985676,0.262206747496,0.274650110965454,0.299775650330373,0.000254190990644,1.00021231084368,5051
ET,nu,2.86706461112909,0.505200094920805,95,0,1.95287761831898,3.86314749618244,0.999966668888741,3.33311112592494E-05,2.07531322303128,2.51180848313661,2.7993939879511,3.14858867155509,4.05720572977415,0.007290961694689,1.00019591274921,4821
ET,eff_size,0.096392704599703,0.055735817709962,95,0,-0.015210896277926,0.202026921609167,0.956669555362976,0.043330444637024,-0.013753918144943,0.058867586874379,0.096929586399448,0.133845478812049,0.203901337016771,0.000476956363893,1.00012905682277,13746
ET,x_pred,0.022108002028834,0.551959645059989,95,0,-0.84884190530843,0.859746087235996,0.533197786814212,0.466802213185788,-0.838002061316063,-0.179434759788599,0.024374761730891,0.226975706734079,0.872088021543228,0.003186726854194,1.06567428306438,30000
PET,mu,331.283388621889,9.00807814947676,95,0,313.842646321805,349.115655259898,0.999966668888741,3.33311112592494E-05,313.459952133637,325.270211561626,331.388355565002,337.454032889039,348.801299450896,0.07484730699463,1.0002767893493,14520
PET,sigma,158.133048492414,10.9133186547394,95,0,136.697181172984,179.381833386292,0.999966668888741,3.33311112592494E-05,137.594185656275,150.57845185447,157.891041092063,165.310126812024,180.48882787014,0.140627234631841,1.00052452236172,6041
PET,nu,2.33959085201089,0.33612654774105,95,0,1.72420546220436,3.01280725153494,0.999966668888741,3.33311112592494E-05,1.78126415711685,2.10245440820023,2.30768014707791,2.54001250031459,3.10119728923845,0.004456094140809,1.0004103387451,5703
PET,eff_size,2.10600488889084,0.170015210744631,95,0,1.78703790259206,2.44901210732367,0.999966668888741,3.33311112592494E-05,1.79419543415479,1.98767762396263,2.09868476107038,2.21611003122762,2.46009287131537,0.00216158037137,1.00049886567541,6206
PET,x_pred,332.180754937364,442.709819182303,95,0,-281.284646327854,915.185266886579,0.923071795213652,0.076928204786348,-271.90568576266,206.813582373528,330.106324324029,454.482715251978,929.779493318692,2.53580603983296,1.01451520429948,30520
