id,longitude,latitude,weight,tmcf,remove,country,realm,elevation,cloud,temperature,min_temperature,max_temperature,precipitation,dewpoint,pressure,vswc,PET
170,116.416653,-8.399986,7.660845039,Gunung Rinjani,,IDN,Australasia,2035,-0.00156948,0.02066001,0.019285044,0.01904879,-0.053574592,0.015005761,1.113929,7.58E-05,0.000222443
171,106.433347,-6.699986,7.691428614,Haliman,,IDN,Indomalayan,1593,-0.002185017,0.030727016,0.022301972,0.021728849,0.052594356,0.019855252,0.94783825,-0.000242755,0.000305995
172,106.933347,-6.800014,7.689818643,Pangrango,,IDN,Indomalayan,1660,-0.001452666,0.033911645,0.02511186,0.024541115,0.02757966,0.01906166,1.0373996,-8.49E-05,0.0002735
173,119.966681,-5.366681,7.710619464,Gunung Lompobatang,,IDN,Australasia,1610,-0.001500492,0.028206384,0.017045295,0.016336357,0.04192894,0.018913658,1.0057302,0.00027214,0.000375087
174,140.266653,-4.716681,7.718442493,Puncak Mandala,,IDN,Australasia,2832,0.000643056,0.03672793,0.016769437,0.015859567,0.028373577,0.035799004,1.4762725,0.000547244,0.000199778
175,139.933347,-4.533319,7.720467417,Puncak Wisnumurti,,IDN,Australasia,3974,4.75E-05,0.038933486,0.016812993,0.01564372,0.029238313,0.032641876,1.4569386,0.000450581,0.00016781
176,103.099986,-4.066681,7.725259305,Dempo,,IDN,Indomalayan,1325,-0.000508609,0.027943278,0.01799217,0.016857302,-0.000288329,0.02577346,0.929673,0.000517249,0.000106004
177,103.483319,-4.333319,7.722584752,Bepagut,,IDN,Indomalayan,2352,0.000422484,0.029897274,0.019986851,0.019024022,0.027307892,0.025427068,1.1431099,0.000167292,0.00013591
178,103.333347,-4.233319,7.723607676,Patai,,IDN,Indomalayan,2222,0.000317452,0.029341169,0.0192877,0.018318607,-0.002549307,0.025971774,1.14416,0.000250107,0.000111446
179,136.749986,-4.033319,7.725582019,Gunung Leonard Darwin,,IDN,Australasia,3273,-0.001141743,0.04317346,0.01570878,0.014256947,0.06815956,0.0287077,1.4152085,0.000184542,9.08E-05
180,137.149986,-4.083319,7.725097373,Puncak Jaya/Mount Carstensz,,IDN,Australasia,3953,-0.000971384,0.043805778,0.017081913,0.016075337,0.036125097,0.028999118,1.7311592,0.000210129,9.59E-05
181,138.649986,-4.283319,7.723099193,Puncak Tricora,,IDN,Australasia,4085,0.00014261,0.038274214,0.015167508,0.013791747,0.02344542,0.031508997,1.530404,0.000389721,0.000122704
182,138.416681,-4.383319,7.722064354,Gunung Daam,,IDN,Australasia,2072,-0.000505415,0.03766102,0.014712621,0.012962949,0.020255148,0.027177077,1.365115,0.00026484,0.000134948
183,101.783319,-3.416681,7.731068923,Sumbing,,IDN,Indomalayan,0,-0.000583699,0.020957293,0.018832024,0.018266125,,0.018377474,0.16487198,0.00033246,3.95E-05
184,102.316653,-3.366681,7.731474073,Daun,,IDN,Indomalayan,1276,-0.000714531,0.030633366,0.020896366,0.019911878,-0.012352918,0.024420718,0.61759776,0.000401468,3.95E-05
185,120.016681,-3.383319,7.731339918,Gunung Rantemario,,IDN,Australasia,3189,-0.000537753,0.036908288,0.014892085,0.01389609,-0.004829987,0.025282405,1.2942474,0.00029501,4.68E-05
186,121.249986,-3.650014,7.729099361,Gunung Mekongga,,IDN,Australasia,2542,-0.000548144,0.036812864,0.015010173,0.01381276,0.028559282,0.026000882,1.2085208,0.000360488,9.47E-05
187,126.216681,-3.299986,7.732005219,Gunung Kelapat Muda,,IDN,Australasia,2604,-0.001912682,0.027270831,0.018509818,0.017529888,0.25774318,0.024508651,0.9168867,0.000226873,3.31E-05
188,129.466653,-3.166681,7.733035022,Gunung Binaya,,IDN,Australasia,2154,-0.00073205,0.030872777,0.01587718,0.01437417,0.096960336,0.03415705,0.7588114,0.00061985,1.49E-05
189,102.133319,-2.866681,7.735197445,Seblat,,IDN,Indomalayan,2063,-0.000499791,0.029825475,0.020664498,0.019343961,-0.030621298,0.026138123,0.9822976,0.000244038,8.29E-06
190,101.883319,-2.733319,7.736089747,Gedang,,IDN,Indomalayan,2167,-0.000889934,0.03057321,0.021774352,0.020550745,-0.0291473,0.026248598,0.97881055,0.000279633,2.53E-05
191,119.416653,-2.750014,7.735980369,Bukit Gandadiwata,,IDN,Australasia,2512,0.000190316,0.040256098,0.017521366,0.01622929,-0.002356333,0.029395077,1.3671323,0.000297783,2.29E-05
192,138.766653,-2.533319,7.737348317,Van Rees Mountains and Foja Mountains,,IDN,Australasia,1796,-0.001949542,0.04731334,0.015585899,0.013982829,0.049515743,0.03273481,0.4145069,0.000258025,3.74E-05
193,101.349986,-2.049986,7.739995471,Talang,,IDN,Indomalayan,1458,-0.000822799,0.02948359,0.02162563,0.020616427,-0.006914407,0.025787292,1.1231644,0.000264137,0.000156465
194,101.866681,-2.483319,7.737648035,Masurai,,IDN,Indomalayan,2486,-0.000506103,0.029723816,0.020902015,0.019635934,-0.034312893,0.025527785,1.1068685,0.000206528,4.49E-05
195,120.083347,-2.333319,7.738511365,Bukit Kambuno,,IDN,Australasia,2425,0.000565426,0.039955527,0.014490874,0.013180752,0.015352749,0.028841583,1.5048971,0.000165099,0.000103072
196,101.383319,-1.700014,7.74156389,Tujuh,,IDN,Indomalayan,1995,-0.000697423,0.027943686,0.020458123,0.019191315,-0.019509738,0.026552778,1.2424438,0.00041873,0.000257703
197,101.283319,-1.700014,7.74156389,Kerinci,,IDN,Indomalayan,2764,-0.000697423,0.027943686,0.020458123,0.019191315,-0.03288846,0.026552778,1.2424438,0.00041873,0.000268821
198,110.150014,-1.200014,7.743296911,Gunung Palung,,IDN,Indomalayan,865,-0.003047271,0.021349274,0.019625952,0.019105485,0.07185219,0.015190207,0.8113469,-0.000125963,0.00028864
199,120.199986,-1.350014,7.742839737,Gunung Nokilalaki,,IDN,Australasia,1529,-0.000930304,0.041126445,0.015932716,0.014730847,0.03316063,0.027658425,1.2874429,0.000397067,0.000305539
200,120.316653,-1.266681,7.74310036,Gunung Roroka Timbu,,IDN,Australasia,2204,-0.000933974,0.037780587,0.016165977,0.015198425,0.051620938,0.025405267,1.1684688,0.000368555,0.000314391
201,121.416653,-1.250014,7.743150495,Gunung Katopasa,,IDN,Australasia,2148,-0.00038496,0.040054627,0.015525242,0.014463823,0.017684925,0.026315736,0.9694282,0.000242296,0.000333817
202,121.366681,-1.633319,7.741829588,Gunung Tambusisi,,IDN,Australasia,1737,-0.000612808,0.04184782,0.014864957,0.013699559,0.046421602,0.026971513,1.183481,0.000170394,0.000385896
203,121.683347,-1.600014,7.741958289,Gunung Tokala,,IDN,Australasia,1256,-0.000693488,0.03723328,0.014970726,0.013941349,0.040181775,0.023315892,1.122884,6.83E-05,0.000401273
204,133.816653,-1.450014,7.742505081,Gunung Lina,,IDN,Australasia,2360,0.000893425,0.046731263,0.013679931,0.012270355,0.06764956,0.04557758,0.94668686,0.000579071,0.000407097
205,110.216681,-1.066681,7.743658141,Gunung Panti,,IDN,Indomalayan,515,-0.003627306,0.026154784,0.022701358,0.02227256,0.071874596,0.0160716,0.8108512,-0.000203475,0.000532614
206,112.416653,-0.699986,7.744432468,Bukit Baka,,IDN,Indomalayan,803,-0.001597274,0.023064282,0.017520908,0.016806453,0.08908021,0.02023519,1.1255597,5.07E-05,0.000574683
207,112.716681,-0.633319,7.744538714,Bukit Raya,,IDN,Indomalayan,1527,-0.001399344,0.022872975,0.017304705,0.016637206,0.09970368,0.020274982,1.1309905,9.03E-05,0.000593792
208,132.399986,-0.666681,7.744486874,Kwoka,,IDN,Australasia,1561,-0.000624464,0.0468266,0.01696218,0.015266142,-0.029292159,0.04235115,0.83775085,0.000217545,0.000647409
209,100.433347,-0.333319,7.744885342,Marapi,,IDN,Indomalayan,1086,-0.00110646,0.023564767,0.019053753,0.017986557,0.036696155,0.02481987,1.0634291,0.000285844,0.000646303
210,100.316653,-0.383319,7.744842512,Singgalang,,IDN,Indomalayan,2037,-0.000994861,0.023259412,0.019187517,0.018322881,0.013912737,0.02281692,0.85393596,0.000301656,0.000725224
211,99.983319,0.066681,7.745012829,Talamau,,IDN,Indomalayan,2384,-0.001175182,0.022322847,0.0193291,0.018178727,0.03432276,0.023978677,0.85293686,0.000259703,0.000598303
212,100.633319,-0.383319,7.744842512,Malintang Sago,,IDN,Indomalayan,848,-0.001408871,0.022731911,0.017513746,0.016157119,0.021330083,0.02488564,1.0545276,0.000331183,0.000752423
213,99.550014,0.633319,7.744538714,Sorik Merapi,,IDN,Indomalayan,1566,-0.000298152,0.020236125,0.018515026,0.017470554,0.035974994,0.023682682,0.8807638,0.000301585,0.000413047
214,120.266681,0.649986,7.744513148,Gunung Ogoamas,,IDN,Australasia,980,-0.002206774,0.032263756,0.01659564,0.01578212,0.026121166,0.022092266,0.7967301,0.000390081,0.000453447
215,120.766681,0.749986,7.744345811,Gunung Maling,,IDN,Australasia,337,-0.001988744,0.033413805,0.016607258,0.015640726,-0.013652968,0.022757068,0.88018686,0.000271835,0.000460831
216,125.166653,1.483319,7.742388319,Gunung Klabat,,IDN,Australasia,1089,-0.00223527,0.031215433,0.02093698,0.020709593,0.033497475,0.020764109,0.3724334,8.23E-05,0.000415362
217,115.249986,3.183319,7.732908807,Iban Range,,IDN,Indomalayan,450,0.001397024,0.026507137,0.007505061,0.005261912,-0.016836617,0.042494643,1.4919308,0.000922974,0.000658235
218,97.199986,3.766681,7.728065876,Leuser,,IDN,Indomalayan,2954,0.0008787,0.022384584,0.021033565,0.019767838,-0.006427457,0.029053582,1.2828175,0.000413101,8.06E-05
219,97.783319,3.766681,7.728065876,Bandahara,,IDN,Indomalayan,2531,7.92E-06,0.024231834,0.022322474,0.0209125,-0.02950792,0.02641609,1.3208287,1.01E-05,9.46E-05
220,97.483319,4.083319,7.725097373,Lembu,,IDN,Indomalayan,1400,0.000348249,0.023254741,0.021586781,0.020174135,-0.017759414,0.02852699,1.315461,0.00031038,7.34E-05
221,95.633319,5.050014,7.714556314,Hulumasen,,IDN,Indomalayan,2084,-0.000568881,0.025200475,0.021582033,0.020719515,0.047348615,0.019677604,0.61021453,5.43E-05,0.000171795
222,96.300014,4.933319,7.715946903,Kemiki,,IDN,Indomalayan,1986,0.001057732,0.023269948,0.02023237,0.01927558,-0.003488857,0.023337483,0.9972734,0.000157613,0.000144607
